"Scientific" "BodyMass.Value" "Trophic_level" "Lifespan"
"Platyrrhinus recifinus" 22 NA NA
"Platyrrhinus dorsalis" 26 NA NA
"Platyrrhinus umbratus" 24.5 NA NA
"Platyrrhinus helleri" 13.5 1 NA
"Platyrrhinus infuscus" 50.2 NA NA
"Platyrrhinus chocoensis" 22 NA NA
"Platyrrhinus brachycephalus" 14.1 NA NA
"Platyrrhinus aurarius" 34.15 NA NA
"Platyrrhinus lineatus" 24.36 2 13
"Platyrrhinus vittatus" 41.4 1 NA
"Pygoderma bilabiatum" 18.5 1 NA
"Sphaeronycteris toxophyllum" 16.18 1 NA
"Stenoderma rufum" 20.65 1 NA
"Uroderma bilobatum" 16.69 2 NA
"Uroderma magnirostrum" 16.85 1 NA
"Vampyressa pusilla" 8.63 1 NA
"Vampyressa thyone" 7.17 NA NA
"Vampyressa melissa" 16.3 NA NA
"Vampyressa brocki" 10 NA NA
"Vampyressa nymphaea" 11.8 NA NA
"Vampyressa bidens" 11.6 NA NA
"Vampyrodes caraccioli" 34.7 1 NA
"Sturnira tildae" 24.04 1 NA
"Sturnira oporaphilum" 21.99 NA NA
"Sturnira thomasi" 21.66 1 NA
"Sturnira mordax" 25.08 1 NA
"Sturnira magna" 21.66 1 NA
"Sturnira luisi" 21 1 NA
"Sturnira ludovici" 21.02 1 NA
"Sturnira lilium" 19.1 2 12
"Sturnira erythromos" 15.1 1 NA
"Sturnira bogotensis" 20.8 1 NA
"Sturnira aratathomasi" 48.63 1 NA
"Sturnira mistratensis" 22.27 NA NA
"Sturnira nana" 18.47 1 NA
"Sturnira bidens" 17.55 1 NA
"Desmodus rotundus" 31.21 3 29.2
"Diaemus youngi" 36.31 3 NA
"Diphylla ecaudata" 29.3 3 8
"Brachyphylla cavernarum" 46.17 2 NA
"Brachyphylla nana" 35.83 NA NA
"Erophylla sezekorni" 15.8 NA NA
"Erophylla bombifrons" 16.28 1 NA
"Phyllonycteris poeyi" 15.36 NA NA
"Phyllonycteris major" 14.15 NA NA
"Phyllonycteris aphylla" 14.15 2 NA
"Anoura cultrata" 16.85 2 NA
"Anoura geoffroyi" 14.62 2 10
"Anoura latidens" 14.65 2 NA
"Anoura luismanueli" 14.05 NA NA
"Anoura caudifer" 10.81 2 NA
"Choeroniscus godmani" 7.9 2 NA
"Choeroniscus minor" 8.73 2 NA
"Choeroniscus periosus" 11.57 NA NA
"Choeronycteris mexicana" 16.6 2 NA
"Glossophaga longirostris" 11.92 2 NA
"Glossophaga leachii" 10.1 2 NA
"Glossophaga morenoi" 8.4 2 NA
"Glossophaga soricina" 9.43 2 11
"Glossophaga commissarisi" 8.9 2 NA
"Hylonycteris underwoodi" 6.65 NA NA
"Leptonycteris yerbabuenae" 22.24 NA 10
"Leptonycteris nivalis" 25.64 2 NA
"Leptonycteris curasoae" 23.42 2 10.1
"Lichonycteris obscura" 5.6 2 NA
"Monophyllus redmani" 8.7 2 NA
"Monophyllus plethodon" 14.81 NA NA
"Musonycteris harrisoni" 13.37 NA NA
"Scleronycteris ega" 49 NA NA
"Lionycteris spurrelli" 8.38 1 NA
"Lonchophylla mordax" 10.7 2 NA
"Lonchophylla bokermanni" 11.8 2 NA
"Lonchophylla dekeyseri" 11.8 2 NA
"Lonchophylla handleyi" 18.5 2 NA
"Lonchophylla hesperia" 11.8 2 NA
"Lonchophylla thomasi" 6.85 2 NA
"Lonchophylla robusta" 13 2 NA
"Platalina genovensium" 16.25 1 NA
"Carollia brevicauda" 14.4 1 NA
"Carollia castanea" 13.27 1 NA
"Carollia colombiana" 15.47 NA NA
"Carollia perspicillata" 18 2 17
"Carollia subrufa" 15.59 1 NA
"Carollia sowelli" 16.5 NA NA
"Rhinophylla alethina" 13.57 1 NA
"Rhinophylla fischerae" 9.6 1 NA
"Rhinophylla pumilio" 9.55 1 NA
"Craseonycteris thonglongyai" 2.15 3 NA
"Saccolaimus flaviventris" 42.13 NA NA
"Saccolaimus mixtus" 23.03 NA NA
"Saccolaimus peli" 100 NA NA
"Saccolaimus saccolaimus" 41.8 3 NA
"Taphozous perforatus" 27.33 NA NA
"Taphozous melanopogon" 25.94 NA NA
"Taphozous achates" 26.96 NA NA
"Taphozous australis" 22.9 NA NA
"Taphozous georgianus" 27.66 3 5
"Taphozous hildegardeae" 29.6 3 NA
"Taphozous hilli" 22 NA NA
"Taphozous kapalgensis" 26 NA NA
"Taphozous longimanus" 26.92 3 NA
"Taphozous theobaldi" 39.8 NA NA
"Taphozous mauritianus" 27.35 3 NA
"Taphozous troughtoni" 26.96 NA NA
"Taphozous hamiltoni" 22 NA NA
"Taphozous nudiventris" 30.07 NA NA
"Balantiopteryx infusca" 4.38 NA NA
"Balantiopteryx io" 4.3 NA NA
"Balantiopteryx plicata" 6.39 3 NA
"Centronycteris centralis" 5 NA NA
"Centronycteris maximiliani" 5 3 NA
"Coleura afra" 10.67 3 NA
"Coleura seychellensis" 10.57 3 NA
"Cormura brevirostris" 9.18 3 NA
"Cyttarops alecto" 5.3 NA NA
"Diclidurus albus" 15.6 3 NA
"Diclidurus ingens" 123 NA NA
"Diclidurus scutatus" 13.25 NA NA
"Diclidurus isabellus" 14 NA NA
"Emballonura serii" 5.75 NA NA
"Emballonura alecto" 5.25 NA NA
"Emballonura atrata" 4.55 3 NA
"Emballonura beccarii" 4.2 NA NA
"Emballonura dianae" 7.97 NA NA
"Emballonura furax" 11.15 NA NA
"Emballonura monticola" 5.68 3 NA
"Emballonura semicaudata" 6.3 NA NA
"Emballonura raffrayana" 5.6 NA NA
"Mosia nigrescens" 3.25 NA NA
"Peropteryx kappleri" 9.42 3 NA
"Peropteryx macrotis" 5.42 3 NA
"Peropteryx trinitatis" 4.19 NA NA
"Peropteryx leucoptera" 6 3 NA
"Rhynchonycteris naso" 3.83 3 NA
"Saccopteryx leptura" 4.72 NA NA
"Saccopteryx antioquensis" 4.72 NA NA
"Saccopteryx bilineata" 7.8 3 6
"Saccopteryx canescens" 3.38 3 NA
"Saccopteryx gymnura" 4 3 NA
"Nycteris aurita" 11.86 NA NA
"Nycteris madagascariensis" 17.69 3 NA
"Nycteris grandis" 30.16 3 NA
"Nycteris arge" 11.95 NA NA
"Nycteris gambiensis" 6.95 NA NA
"Nycteris hispida" 8.63 NA NA
"Nycteris intermedia" 10.65 NA NA
"Nycteris macrotis" 14.46 3 NA
"Nycteris major" 11.21 NA NA
"Nycteris nana" 6.95 NA NA
"Nycteris parisii" 11.86 NA NA
"Nycteris thebaica" 9.81 3 NA
"Nycteris tragata" 14.4 3 NA
"Nycteris vinsoni" 11.86 NA NA
"Nycteris woodi" 7.55 NA NA
"Nycteris javanica" 17.7 3 NA
"Myzopoda aurita" 9.1 3 NA
"Mystacina robusta" 27.25 2 NA
"Mystacina tuberculata" 12.6 2 7.6
"Mops trevori" 18.65 NA NA
"Mops mops" 30.95 3 NA
"Mops sarasinorum" 24.17 3 NA
"Mops niveiventer" 21.7 3 NA
"Mops niangarae" 18.65 NA NA
"Mops demonstrator" 18.65 NA NA
"Mops congicus" 42.95 NA NA
"Mops leucostigma" 26.79 3 NA
"Mops midas" 45.22 3 NA
"Mops condylurus" 28.37 3 NA
"Mops petersoni" 18.65 NA NA
"Mops spurrelli" 8.08 NA NA
"Mops thersites" 22 NA NA
"Mops nanulus" 18.65 NA NA
"Mops brachypterus" 16 NA NA
"Chaerephon bemmeleni" 19 NA NA
"Chaerephon solomonis" 14.53 NA NA
"Chaerephon ansorgei" 16.14 NA NA
"Chaerephon jobensis" 16.89 3 NA
"Chaerephon bivittatus" 15.42 NA NA
"Chaerephon bregullae" 14.53 NA NA
"Chaerephon chapini" 10 NA NA
"Chaerephon gallagheri" 18.65 NA NA
"Chaerephon leucogaster" 12.5 NA NA
"Chaerephon nigeriae" 19.8 NA NA
"Chaerephon plicatus" 21.83 3 NA
"Chaerephon pumilus" 10.98 3 5
"Chaerephon shortridgei" 14.53 NA NA
"Chaerephon tomensis" 7.48 NA NA
"Chaerephon aloysiisabaudiae" 14.53 NA NA
"Chaerephon johorensis" 18.65 3 NA
"Chaerephon russatus" 16.98 NA NA
"Chaerephon major" 14.75 NA NA
"Cheiromeles torquatus" 163.5 3 NA
"Cheiromeles parvidens" 163.5 3 NA
"Cynomops abrasus" 35.39 3 NA
"Cynomops greenhalli" 15.87 3 NA
"Cynomops mexicanus" 17.21 NA NA
"Cynomops paranus" 12.16 NA NA
"Cynomops planirostris" 12.84 3 NA
"Eumops dabbenei" 104.35 NA NA
"Eumops bonariensis" 11.9 3 NA
"Eumops trumbulli" 34.01 NA NA
"Eumops glaucinus" 35.38 3 NA
"Eumops hansae" 15.05 NA NA
"Eumops maurus" 29.38 NA NA
"Eumops patagonicus" 34.01 NA NA
"Eumops perotis" 51.13 3 NA
"Eumops underwoodi" 54.7 3 NA
"Eumops auripendulus" 28.45 NA NA
"Molossops temminckii" 5.9 3 NA
"Molossops neglectus" 11 3 NA
"Molossops aequatorianus" 14.51 3 NA
"Molossops mattogrossensis" 6.83 3 NA
"Molossus currentium" 17.79 NA NA
"Molossus sinaloae" 22.58 3 NA
"Molossus rufus" 25 NA NA
"Molossus molossus" 13.58 3 NA
"Molossus coibensis" 18.73 NA NA
"Molossus barnesi" 14.8 NA NA
"Molossus aztecus" 14.86 NA NA
"Molossus pretiosus" 27 NA NA
"Mormopterus jugularis" 11.5 3 NA
"Mormopterus phrudus" 13.44 NA NA
"Mormopterus norfolkensis" 8 NA NA
"Mormopterus minutus" 13.44 NA NA
"Mormopterus loriae" 7 NA NA
"Mormopterus kalinowskii" 13.44 NA NA
"Mormopterus acetabulosus" 11 NA NA
"Mormopterus beccarii" 14.85 3 NA
"Mormopterus doriae" 12.5 3 NA
"Mormopterus planiceps" 8.8 NA NA
"Myopterus daubentonii" 23.62 NA NA
"Myopterus whitleyi" 11.5 NA NA
"Nyctinomops macrotis" 18.4 3 NA
"Nyctinomops aurispinosus" 17.95 3 NA
"Nyctinomops femorosaccus" 14.63 3 NA
"Nyctinomops laticaudatus" 12.22 NA NA
"Otomops formosus" 21.4 3 NA
"Otomops wroughtoni" 21.4 3 NA
"Otomops papuensis" 16.5 NA NA
"Otomops martiensseni" 34.3 2 NA
"Otomops secundus" 21.4 NA NA
"Otomops johnstonei" 24.19 NA NA
"Otomops madagascariensis" 25 NA NA
"Platymops setiger" 13 NA NA
"Promops centralis" 26.37 NA NA
"Promops nasutus" 15.2 3 NA
"Sauromys petrophilus" 14.25 NA NA
"Tadarida teniotis" 27.04 3 13
"Tadarida ventralis" 23.62 NA NA
"Tadarida latouchei" 23.55 NA NA
"Tadarida lobata" 23.62 NA NA
"Tadarida kuboriensis" 26.8 NA NA
"Tadarida aegyptiaca" 16.78 3 NA
"Tadarida australis" 31.8 NA NA
"Tadarida brasiliensis" 12.49 3 12
"Tadarida fulminans" 35.28 3 NA
"Tadarida insignis" 23.55 NA NA
"Tomopeas ravus" 2.54 NA NA
"Eptesicus furinalis" 7.74 3 NA
"Eptesicus dimissus" 13.03 NA NA
"Eptesicus fuscus" 16.46 3 19
"Eptesicus diminutus" 6 NA NA
"Eptesicus chiriquinus" 11.25 NA NA
"Eptesicus brasiliensis" 9.47 3 NA
"Eptesicus bottae" 14.23 NA NA
"Eptesicus matroka" 6.57 3 NA
"Eptesicus andinus" 10.96 NA NA
"Eptesicus tatei" 11.42 NA NA
"Eptesicus japonensis" 10.96 NA NA
"Eptesicus nasutus" 7.91 NA NA
"Eptesicus nilssonii" 10.72 3 15.5
"Eptesicus pachyotis" 8.28 NA NA
"Eptesicus platyops" 11.42 NA NA
"Eptesicus serotinus" 22.86 3 21
"Eptesicus bobrinskoi" 7.55 NA NA
"Eptesicus gobiensis" 10.96 NA NA
"Eptesicus innoxius" 8.86 NA NA
"Eptesicus guadeloupensis" 11.42 NA NA
"Eptesicus hottentotus" 30 NA NA
"Eptesicus kobayashii" 10.96 NA NA
"Eptesicus floweri" 10.17 NA NA
"Arielulus aureocollaris" 10.4 NA NA
"Arielulus torquatus" 10.4 NA NA
"Arielulus societatis" 8.03 NA NA
"Arielulus circumdatus" 10.4 NA NA
"Arielulus cuprosus" 10.4 NA NA
"Hesperoptenus doriae" 9.56 NA NA
"Hesperoptenus gaskelli" 13.07 NA NA
"Hesperoptenus tomesi" 31 NA NA
"Hesperoptenus tickelli" 16.3 NA NA
"Hesperoptenus blanfordi" 6.53 NA NA
"Scotophilus dinganii" 25.13 3 NA
"Scotophilus robustus" 26.03 3 NA
"Scotophilus borbonicus" 18 NA NA
"Scotophilus heathii" 36.13 3 NA
"Scotophilus collinus" 28.26 NA NA
"Scotophilus kuhlii" 20.73 3 NA
"Scotophilus nux" 30 NA NA
"Scotophilus nucella" 28.26 NA NA
"Scotophilus viridis" 19.6 3 NA
"Scotophilus nigrita" 101 3 NA
"Scotophilus leucogaster" 20.23 3 NA
"Scotophilus celebensis" 26.77 NA NA
"Scotorepens balstoni" 11.92 NA 9.7
"Scotorepens greyii" 10 NA NA
"Scotorepens sanborni" 8.13 NA NA
"Scotorepens orion" 11.83 NA NA
"Nycticeinops schlieffeni" 5.05 3 NA
"Nycticeius aenobarbus" 8.99 NA NA
"Nycticeius humeralis" 8.99 NA 6
"Nycticeius cubanus" 8.99 NA NA
"Rhogeessa gracilis" 4.88 NA NA
"Rhogeessa tumida" 4.58 3 NA
"Rhogeessa parvula" 4.37 3 NA
"Rhogeessa mira" 4.91 NA NA
"Rhogeessa minutilla" 3.75 NA NA
"Rhogeessa hussoni" 4.22 NA NA
"Rhogeessa genowaysi" 4.64 NA NA
"Rhogeessa aeneus" 4.22 NA NA
"Rhogeessa io" 4.22 NA NA
"Rhogeessa alleni" 5.47 NA NA
"Scoteanax rueppellii" 26.41 NA NA
"Scotoecus albofuscus" 4.5 NA NA
"Scotoecus hindei" 10.41 NA NA
"Scotoecus hirundo" 9.34 NA NA
"Scotoecus pallidus" 7.43 NA NA
"Scotoecus albigula" 10.08 NA NA
"Scotomanes ornatus" 21.8 NA NA
"Nyctophilus bifax" 9.89 NA NA
"Nyctophilus howensis" 7.78 NA NA
"Nyctophilus microdon" 7.63 NA NA
"Nyctophilus walkeri" 4.34 NA NA
"Nyctophilus heran" 7.63 NA NA
"Nyctophilus geoffroyi" 7.28 NA NA
"Nyctophilus gouldi" 10 3 NA
"Nyctophilus timoriensis" 11.73 3 NA
"Nyctophilus nebulosus" 7.78 NA NA
"Nyctophilus microtis" 7.1 NA NA
"Nyctophilus arnhemensis" 6.65 NA NA
"Pharotis imogene" 8.34 NA NA
"Lasiurus ebenus" 14 NA NA
"Lasiurus borealis" 10.74 3 NA
"Lasiurus blossevillii" 9.5 NA NA
"Lasiurus castaneus" 13.63 3 NA
"Lasiurus cinereus" 25.28 3 14
"Lasiurus degelidus" 14.57 NA NA
"Lasiurus egregius" 20 NA NA
"Lasiurus varius" 14.57 NA NA
"Lasiurus minor" 14.57 NA NA
"Lasiurus pfeifferi" 14.57 NA NA
"Lasiurus salinae" 14.57 NA NA
"Lasiurus seminolus" 9.89 3 NA
"Lasiurus atratus" 14.57 NA NA
"Lasiurus insularis" 14.57 NA NA
"Lasiurus xanthinus" 14.57 NA NA
"Lasiurus ega" 13.2 3 NA
"Lasiurus intermedius" 23.03 NA NA
"Pipistrellus nathusii" 7.31 NA 11
"Pipistrellus nanulus" 2.5 NA NA
"Pipistrellus maderensis" 6.2 NA NA
"Pipistrellus pipistrellus" 5.69 3 16.6
"Pipistrellus kuhlii" 5.93 NA 8
"Pipistrellus minahassae" 7.45 NA NA
"Pipistrellus papuanus" 5.28 NA NA
"Pipistrellus permixtus" 6.36 NA NA
"Pipistrellus javanicus" 5.29 NA NA
"Pipistrellus angulatus" 3.35 NA NA
"Pipistrellus pygmaeus" 5.28 NA NA
"Pipistrellus paterculus" 5.6 NA NA
"Pipistrellus inexspectatus" 6.2 NA NA
"Pipistrellus hesperus" 3.7 NA 6.0825
"Pipistrellus hesperidus" 5.28 NA NA
"Pipistrellus endoi" 5.6 NA NA
"Pipistrellus deserti" 6.2 NA NA
"Pipistrellus coromandra" 4.6 NA NA
"Pipistrellus ceylonicus" 8.39 3 NA
"Pipistrellus aero" 6.2 NA NA
"Pipistrellus adamsi" 4.2 NA NA
"Pipistrellus abramus" 5.87 NA NA
"Pipistrellus rusticus" 4.55 3 NA
"Pipistrellus collinus" 6.75 NA NA
"Pipistrellus sturdeei" 5.28 NA NA
"Pipistrellus rueppellii" 7.07 3 NA
"Pipistrellus stenopterus" 15.2 3 NA
"Pipistrellus westralis" 3 NA NA
"Pipistrellus wattsi" 5.28 NA NA
"Pipistrellus tenuis" 4.7 3 NA
"Pipistrellus subflavus" 5.76 3 14.8
"Scotozous dormeri" 6.79 NA NA
"Glischropus javanus" 5.91 NA NA
"Glischropus tylopus" 4.39 3 NA
"Nyctalus lasiopterus" 49.73 3 NA
"Nyctalus plancyi" 26.44 NA NA
"Nyctalus noctula" 28 3 12
"Nyctalus aviator" 21.85 NA NA
"Nyctalus leisleri" 13.28 NA 16
"Nyctalus furvus" 26.44 NA NA
"Nyctalus azoreum" 21.85 NA NA
"Nyctalus montanus" 21.85 NA NA
"Barbastella barbastellus" 8.03 3 23
"Barbastella leucomelas" 15.05 NA NA
"Corynorhinus townsendii" 10.3 3 20.5
"Corynorhinus rafinesquii" 9.15 3 10.1
"Corynorhinus mexicanus" 9.71 NA NA
"Euderma maculatum" 15.66 3 NA
"Idionycteris phyllotis" 12.03 NA 3.166666667
"Otonycteris hemprichii" 21.98 3 NA
"Plecotus teneriffae" 8.33 NA NA
"Plecotus austriacus" 7.3 NA 25.5
"Plecotus balensis" 7.56 NA NA
"Plecotus auritus" 7.83 3 30
"Plecotus kolombatovici" 7.56 NA NA
"Plecotus sardus" 7.56 NA NA
"Plecotus taivanus" 8.54 NA NA
"Plecotus alpinus" 7.56 NA NA
"Neoromicia somalicus" 3.53 NA NA
"Neoromicia tenuipinnis" 5.35 NA NA
"Neoromicia capensis" 5.96 3 NA
"Neoromicia flavescens" 10.5 NA NA
"Neoromicia guineensis" 5.07 NA NA
"Neoromicia helios" 3.56 NA NA
"Neoromicia melckorum" 5.07 3 NA
"Neoromicia nanus" 3.88 3 NA
"Neoromicia brunneus" 9.56 NA NA
"Neoromicia zuluensis" 4.14 3 NA
"Neoromicia rendalli" 6.42 NA NA
"Chalinolobus dwyeri" 9.03 NA NA
"Chalinolobus picatus" 5.1 NA NA
"Chalinolobus tuberculatus" 8.5 3 NA
"Chalinolobus nigrogriseus" 8.8 NA NA
"Chalinolobus neocaledonicus" 8.71 NA NA
"Chalinolobus morio" 8.77 3 NA
"Chalinolobus gouldii" 14.47 3 NA
"Eudiscopus denticulus" 9.56 NA NA
"Falsistrellus petersi" 22.77 NA NA
"Falsistrellus mordax" 10.23 NA NA
"Falsistrellus tasmaniensis" 22.54 3 NA
"Falsistrellus affinis" 10.23 NA NA
"Falsistrellus mackenziei" 23 NA NA
"Glauconycteris humeralis" 5.49 NA NA
"Glauconycteris alboguttata" 8.42 NA NA
"Glauconycteris argentata" 9.3 NA NA
"Glauconycteris beatrix" 7.5 NA NA
"Glauconycteris curryae" 8.11 NA NA
"Glauconycteris gleni" 10.81 NA NA
"Glauconycteris kenyacola" 7.17 NA NA
"Glauconycteris machadoi" 8.11 NA NA
"Glauconycteris poensis" 6.91 NA NA
"Glauconycteris superba" 8.42 NA NA
"Glauconycteris variegata" 11.25 3 NA
"Glauconycteris egeria" 8.42 NA NA
"Histiotus velatus" 11.2 3 NA
"Histiotus alienus" 10.42 3 NA
"Histiotus humboldti" 11.1 NA NA
"Histiotus laephotis" 11.1 NA NA
"Histiotus magellanicus" 11.1 NA NA
"Histiotus macrotus" 11 3 NA
"Histiotus montanus" 10.42 3 NA
"Hypsugo kitcheneri" 9.56 NA NA
"Hypsugo bodenheimeri" 2.73 NA NA
"Hypsugo vordermanni" 5.12 NA NA
"Hypsugo savii" 6.3 3 NA
"Hypsugo pulveratus" 5.53 NA NA
"Hypsugo musciculus" 5.12 NA NA
"Hypsugo alaschanicus" 5.12 NA NA
"Hypsugo lophurus" 9.56 NA NA
"Hypsugo joffrei" 5.12 NA NA
"Hypsugo imbricatus" 6.29 3 NA
"Hypsugo eisentrauti" 6.11 NA NA
"Hypsugo cadornae" 6.69 NA NA
"Hypsugo ariel" 5.12 NA NA
"Hypsugo arabicus" 3.17 NA NA
"Hypsugo anthonyi" 12.15 NA NA
"Hypsugo anchietae" 9.56 NA NA
"Hypsugo macrotis" 9.56 NA NA
"Hypsugo crassulus" 6.09 NA NA
"Ia io" 49.2 NA NA
"Laephotis angolensis" 7.48 NA NA
"Laephotis botswanae" 7.2 NA NA
"Laephotis namibensis" 7.48 NA NA
"Laephotis wintoni" 6 NA NA
"Mimetillus moloneyi" 8.8 NA NA
"Philetor brachypterus" 10.93 NA NA
"Tylonycteris robustula" 7.62 3 NA
"Tylonycteris pachypus" 3.58 3 NA
"Vespadelus caurinus" 3.1 NA NA
"Vespadelus darlingtoni" 6.06 3 NA
"Vespadelus douglasorum" 4.99 NA NA
"Vespadelus finlaysoni" 4.64 NA NA
"Vespadelus pumilus" 5.4 3 NA
"Vespadelus regulus" 5.05 3 NA
"Vespadelus troughtoni" 4.64 NA NA
"Vespadelus vulturnus" 3.77 3 NA
"Vespadelus baverstocki" 4.8 NA NA
"Vespertilio murinus" 18.7 3 14.5
"Vespertilio sinensis" 24.3 3 NA
"Antrozous pallidus" 20.8 3 14.8
"Bauerus dubiaquercus" 22.22 3 NA
"Cistugo seabrae" 8.35 NA NA
"Cistugo lesueuri" 7.26 NA NA
"Lasionycteris noctivagans" 10.46 3 12
"Myotis nigricans" 4.24 NA 7
"Myotis nesopolus" 3.5 NA NA
"Myotis nattereri" 7.14 3 23.7
"Myotis mystacinus" 4.99 NA 24
"Myotis macropus" 7.74 NA NA
"Myotis nipalensis" 7.74 NA NA
"Myotis occultus" 8.79 NA NA
"Myotis myotis" 24.79 3 37.1
"Myotis muricola" 4.09 3 NA
"Myotis morrisi" 9.01 NA NA
"Myotis montivagus" 8.3 NA NA
"Myotis moluccarum" 7.74 NA NA
"Myotis melanorhinus" 7.74 NA NA
"Myotis keenii" 6.27 NA 19
"Myotis grisescens" 10.54 3 16.5
"Myotis hajastanicus" 7.74 NA NA
"Myotis hasseltii" 8.75 NA NA
"Myotis hermani" 7.74 NA NA
"Myotis horsfieldii" 6.26 NA NA
"Myotis hosonoi" 7.74 NA NA
"Myotis ikonnikovi" 5.62 NA NA
"Myotis martiniquensis" 5.9 NA NA
"Myotis keaysi" 5.3 NA NA
"Myotis macrotarsus" 12.5 NA NA
"Myotis laniger" 7.74 NA NA
"Myotis leibii" 5.13 NA 12
"Myotis levis" 5.5 NA NA
"Myotis longipes" 7.25 NA NA
"Myotis lucifugus" 7.65 3 34
"Myotis macrodactylus" 7.2 NA NA
"Myotis ozensis" 7.74 NA NA
"Myotis insularum" 6.52 NA NA
"Myotis ridleyi" 4.5 NA NA
"Myotis oxygnathus" 21.23 NA NA
"Myotis sodalis" 6.91 3 20
"Myotis simus" 8.2 NA NA
"Myotis siligorensis" 2.7 NA NA
"Myotis pruinosus" 7.25 NA NA
"Myotis thysanodes" 8.13 NA 18.3
"Myotis ricketti" 7.74 NA NA
"Myotis tricolor" 13.94 NA NA
"Myotis riparius" 5.55 3 NA
"Myotis sicarius" 17.43 NA NA
"Myotis septentrionalis" 7.74 NA NA
"Myotis scotti" 6.86 NA NA
"Myotis schaubi" 9.46 NA NA
"Myotis ruber" 5 NA NA
"Myotis punicus" 7.74 NA NA
"Myotis dominicensis" 5.9 NA NA
"Myotis oxyotus" 5.5 NA NA
"Myotis rosseti" 3.29 NA NA
"Myotis peninsularis" 7.26 NA NA
"Myotis pequinius" 9.52 NA NA
"Myotis planiceps" 5.36 NA NA
"Myotis stalkeri" 9.05 NA NA
"Myotis yumanensis" 5.39 NA 14
"Myotis oreias" 8.31 NA NA
"Myotis yesoensis" 7.74 NA NA
"Myotis yanbarensis" 7.74 NA NA
"Myotis welwitschii" 15.5 NA NA
"Myotis volans" 8.46 NA 21
"Myotis vivesi" 25 3 10
"Myotis velifer" 10.1 3 11.3
"Myotis goudoti" 5.56 3 NA
"Myotis annectans" 9.8 NA NA
"Myotis bombinus" 9.46 NA NA
"Myotis bocagii" 7.93 3 NA
"Myotis blythii" 22.47 NA 33
"Myotis bechsteinii" 9.47 3 21
"Myotis austroriparius" 6.84 NA 6
"Myotis australis" 5.62 NA NA
"Myotis auriculus" 36.99 3 3.166666667
"Myotis brandtii" 5.3 NA 41
"Myotis atacamensis" 6.77 NA NA
"Myotis albescens" 5.3 NA NA
"Myotis annamiticus" 7.74 NA NA
"Myotis anjouanensis" 7.74 NA NA
"Myotis altarium" 11 NA NA
"Myotis alcathoe" 7.74 NA NA
"Myotis gomantongensis" 7.74 NA NA
"Myotis aelleni" 7.26 NA NA
"Myotis emarginatus" 7.66 NA 22.7
"Myotis abei" 7.74 NA NA
"Myotis ater" 7.74 NA NA
"Myotis evotis" 6.7 NA 22
"Myotis bucharensis" 7.74 NA NA
"Myotis frater" 7.55 NA NA
"Myotis fortidens" 4.35 3 NA
"Myotis formosus" 7 NA NA
"Myotis findleyi" 5.9 NA NA
"Myotis adversus" 10.55 3 NA
"Myotis fimbriatus" 7.74 NA NA
"Myotis elegans" 4.05 NA NA
"Myotis davidii" 7.74 NA NA
"Myotis chiloensis" 6.75 3 NA
"Myotis californicus" 4.6 3 15
"Myotis capaccinii" 7.44 3 NA
"Myotis daubentonii" 7.63 3 28
"Myotis chinensis" 42 NA NA
"Myotis ciliolabrum" 4.89 NA NA
"Myotis cobanensis" 7.26 NA NA
"Myotis csorbai" 7.74 NA NA
"Myotis dasycneme" 14.13 3 20.5
"Miniopterus shortridgei" 9.76 NA NA
"Miniopterus majori" 9 3 NA
"Miniopterus inflatus" 14.2 3 NA
"Miniopterus gleni" 9 NA NA
"Miniopterus fuscus" 10.73 NA NA
"Miniopterus fraterculus" 7.3 NA NA
"Miniopterus australis" 6.15 3 NA
"Miniopterus manavi" 7 3 NA
"Miniopterus africanus" 9.76 NA NA
"Miniopterus magnater" 14.07 NA NA
"Miniopterus medius" 11.4 NA NA
"Miniopterus minor" 7.01 NA NA
"Miniopterus natalensis" 10.43 3 22
"Miniopterus paululus" 9.76 NA NA
"Miniopterus pusillus" 8.61 NA NA
"Miniopterus robustior" 12.06 NA NA
"Miniopterus schreibersii" 11.46 3 14
"Miniopterus tristis" 15.75 NA NA
"Minopterus macrocneme" 9.83 NA NA
"Harpiocephalus harpia" 16.31 3 NA
"Harpiocephalus mordax" 16.31 NA NA
"Murina tenebrosa" 5.74 NA NA
"Murina aenea" 7.38 NA NA
"Murina tubinaris" 5.45 NA NA
"Murina suilla" 3.63 NA NA
"Murina silvatica" 5.92 NA NA
"Murina ryukyuana" 5.92 NA NA
"Murina rozendaali" 4.55 NA NA
"Murina puta" 6.73 NA NA
"Murina leucogaster" 7.55 NA NA
"Murina huttoni" 7.6 NA NA
"Murina hilgendorfi" 5.92 NA NA
"Murina fusca" 6.23 NA NA
"Murina florium" 4.25 NA NA
"Murina aurata" 5.74 NA NA
"Murina ussuriensis" 5.74 NA NA
"Murina cyclotis" 9.28 NA NA
"Murina grisea" 6.58 NA NA
"Kerivoula lenis" 4.9 NA NA
"Kerivoula agnella" 5.03 NA NA
"Kerivoula argentata" 10 NA NA
"Kerivoula cuprosa" 5.03 NA NA
"Kerivoula eriophora" 5.03 NA NA
"Kerivoula flora" 5.95 NA NA
"Kerivoula hardwickii" 4.55 NA NA
"Kerivoula africana" 4.9 NA NA
"Kerivoula lanosa" 6.5 NA NA
"Kerivoula smithii" 5.03 NA NA
"Kerivoula minuta" 2.07 NA NA
