species	order_pbdb	order_now	fam_pbdb	fam_now	genus	species	occ_pbdb	occ_now
Ruscinomys africanus	NA	rodentia	NA	muridae	ruscinomys	africanus	NA	1
Luantus minor	rodentia	rodentia	eocardiidae	eocardiidae	luantus	minor	1	1
Lutra castiglionis	carnivora	NA	mustelidae	NA	lutra	castiglionis	1	NA
Seia shahi	NA	didelphimorpha	NA	lypotyphla	seia	shahi	1	1
Teletaceras mortivallis	perissodactyla	NA	rhinocerotidae	NA	teletaceras	mortivallis	1	NA
Megalohyrax minor	hyracoidea	NA	pliohyracidae	NA	megalohyrax	minor	1	NA
Ellobius tarchancutensis	NA	rodentia	NA	muridae	ellobius	tarchancutensis	NA	2
Mesocricetus primitivus	rodentia	rodentia	cricetidae	muridae	mesocricetus	primitivus	2	8
Diacodon alticuspis	NA	NA	NA	NA	diacodon	alticuspis	2	NA
Mesatirhinus megarhinus	perissodactyla	NA	brontotheriidae	NA	mesatirhinus	megarhinus	3	NA
Theriodictis floridanus	carnivora	NA	canidae	NA	theriodictis	floridanus	2	NA
Nyanzachoerus NA	NA	artiodactyla	NA	suidae	nyanzachoerus	NA	NA	17
Stegolophodon stegodontoides	NA	proboscidea	NA	elephantidae	stegolophodon	stegodontoides	NA	3
Russellodon haininense	primates	NA	picrodontidae	NA	russellodon	haininense	1	NA
Tachyoryctoides NA	NA	rodentia	NA	muridae	tachyoryctoides	NA	NA	4
Pekania diluviana	carnivora	NA	mustelidae	NA	pekania	diluviana	6	NA
Asiacastor antecedens	NA	rodentia	NA	castoridae	asiacastor	antecedens	NA	1
Glaucomys sabrinus	rodentia	NA	sciuridae	NA	glaucomys	sabrinus	11	NA
Absarokius metoecus	primates	NA	omomyidae	NA	absarokius	metoecus	32	NA
Harpagolestes leei	acreodi	NA	mesonychidae	NA	harpagolestes	leei	3	NA
Austrolagomys NA	NA	lagomorpha	NA	ochotonidae	austrolagomys	NA	NA	1
Lindsaya NA	NA	rodentia	NA	indet.	lindsaya	NA	NA	1
Ochotonoides NA	NA	lagomorpha	NA	ochotonidae	ochotonoides	NA	NA	3
Alilepus NA	NA	lagomorpha	NA	leporidae	alilepus	NA	NA	14
Forstercooperia NA	NA	perissodactyla	NA	hyracodontidae	forstercooperia	NA	NA	1
Deinotherium indicum	proboscidea	NA	deinotheriidae	NA	deinotherium	indicum	1	NA
Barylambda faberi	amblypoda	NA	barylambdidae	NA	barylambda	faberi	12	NA
Kubanochoerus NA	NA	artiodactyla	NA	suidae	kubanochoerus	NA	NA	4
Vetelia puncta	cingulata	NA	dasypodidae	NA	vetelia	puncta	2	NA
Haplobunodon muelleri	artiodactyla	NA	choeropotamidae	NA	haplobunodon	muelleri	1	NA
Hypolagus schreuderi	NA	lagomorpha	NA	leporidae	hypolagus	schreuderi	NA	9
Microtoscoptes pristinus	NA	rodentia	NA	muridae	microtoscoptes	pristinus	NA	1
Plesiosorex soricinoides	NA	eulipotyphla	plesiosoricidae	plesiosoricidae	plesiosorex	soricinoides	1	5
Pannonicola brevidens	NA	rodentia	NA	muridae	pannonicola	brevidens	NA	1
Tursiops truncatus	cetacea	NA	delphinidae	NA	tursiops	truncatus	18	NA
Microtypotherium choquecotense	notoungulata	NA	mesotheriidae	NA	microtypotherium	choquecotense	4	NA
Heliosciurus NA	NA	rodentia	NA	sciuridae	heliosciurus	NA	NA	2
Hesperoscalops mcgrewi	lipotyphla	NA	talpidae	NA	hesperoscalops	mcgrewi	2	NA
Allodesmus kelloggi	carnivora	NA	NA	NA	allodesmus	kelloggi	1	NA
Tetraconodon magnus	NA	artiodactyla	NA	suidae	tetraconodon	magnus	NA	3
Schizogalerix intermedia	NA	eulipotyphla	NA	erinaceidae	schizogalerix	intermedia	NA	3
Hoploaceratherium NA	NA	perissodactyla	NA	rhinocerotidae	hoploaceratherium	NA	NA	4
Otomys sloggetti	NA	rodentia	NA	muridae	otomys	sloggetti	NA	4
Protolipterna ellipsodontoides	litopterna	NA	protolipternidae	NA	protolipterna	ellipsodontoides	1	NA
Hyracotherium gabuniai	perissodactyla	NA	palaeotheriidae	NA	hyracotherium	gabuniai	1	NA
Lophostoma silvicolum	chiroptera	chiroptera	phyllostomidae	phyllostomidae	lophostoma	silvicolum	1	1
Pandemonium dis	primates	NA	NA	NA	pandemonium	dis	1	NA
Trichechus manatus	sirenia	NA	trichechidae	NA	trichechus	manatus	4	NA
Eobrasilia coutoi	marsupialia	NA	NA	NA	eobrasilia	coutoi	1	NA
Cynopterus brachyotis	NA	chiroptera	NA	pteropodidae	cynopterus	brachyotis	NA	2
Metacervoceros rhenanus	NA	artiodactyla	NA	cervidae	metacervoceros	rhenanus	NA	5
Mystromys antiquus	NA	rodentia	NA	cricetodontidae	mystromys	antiquus	NA	2
Platodontopithecus jianghuaiensis	primates	primates	pliopithecidae	hylobatidae	platodontopithecus	jianghuaiensis	1	1
Homo antecessor	primates	primates	hominidae	hominidae	homo	antecessor	1	1
Paludotona gobiensis	NA	lagomorpha	NA	ochotonidae	paludotona	gobiensis	NA	2
Leopardus pardalis	carnivora	NA	felidae	NA	leopardus	pardalis	7	NA
Ectopocynus simplicidens	carnivora	NA	canidae	NA	ectopocynus	simplicidens	3	NA
Apatemys mutiniacus	insectivora	NA	apatemyidae	NA	apatemys	mutiniacus	2	NA
Tylionomys woodi	rodentia	NA	heliscomyidae	NA	tylionomys	woodi	4	NA
Soergelia minor	NA	artiodactyla	NA	bovidae	soergelia	minor	NA	1
Microchoerus ornatus	NA	primates	NA	microchoeridae	microchoerus	ornatus	NA	1
Palaeogale dorothiae	carnivora	NA	NA	NA	palaeogale	dorothiae	7	NA
Metacervocerus pardinensis	NA	artiodactyla	NA	cervidae	metacervocerus	pardinensis	NA	3
Itanzatherium angustirostre	NA	perissodactyla	NA	rhinocerotidae	itanzatherium	angustirostre	NA	2
Praeovibos priscus	artiodactyla	NA	bovidae	NA	praeovibos	priscus	7	NA
Calomys callosus	rodentia	NA	cricetidae	NA	calomys	callosus	1	NA
Thylogale billardierii	NA	diprotodontia	NA	macropodidae	thylogale	billardierii	NA	1
Gobiohyus yuanchuensis	NA	NA	NA	NA	gobiohyus	yuanchuensis	2	NA
Hoplophoneus occidentalis	carnivora	NA	nimravidae	NA	hoplophoneus	occidentalis	1	NA
Hispanotherium tungurense	NA	perissodactyla	NA	rhinocerotidae	hispanotherium	tungurense	NA	4
Aelurocyon NA	NA	carnivora	NA	mustelidae	aelurocyon	NA	NA	1
Cainotherium lintillae	artiodactyla	artiodactyla	cainotheriidae	cainotheriidae	cainotherium	lintillae	2	17
Soergelia brigittae	NA	artiodactyla	NA	bovidae	soergelia	brigittae	NA	1
Tuscahomys worlandensis	rodentia	NA	cylindrodontidae	NA	tuscahomys	worlandensis	2	NA
Florentiamys tiptoni	rodentia	NA	florentiamyidae	NA	florentiamys	tiptoni	4	NA
Neofiber alleni	rodentia	NA	cricetidae	NA	neofiber	alleni	25	NA
Pseudeutatus circundatus	cingulata	NA	dasypodidae	NA	pseudeutatus	circundatus	1	NA
Palaeothentes minutus	paucituberculata	paucituberculata	palaeothentidae	palaeothentidae	palaeothentes	minutus	10	1
Marmota minor	rodentia	NA	sciuridae	NA	marmota	minor	1	NA
Gazella blacki	NA	artiodactyla	NA	bovidae	gazella	blacki	NA	9
Perimys dissimilis	rodentia	NA	eryomyidae	NA	perimys	dissimilis	1	NA
Vassacyon bowni	NA	NA	NA	NA	vassacyon	bowni	1	NA
Corystosiren varguezi	sirenia	NA	dugongidae	NA	corystosiren	varguezi	4	NA
Teilhardia pretiosa	perissodactyla	NA	NA	NA	teilhardia	pretiosa	1	NA
Kentriodon pernix	cetacea	NA	kentriodontidae	NA	kentriodon	pernix	7	NA
Ischyrocyon gidleyi	carnivora	NA	amphicyonidae	NA	ischyrocyon	gidleyi	10	NA
Macaca robustus	NA	primates	NA	cercopithecidae	macaca	robustus	NA	5
Astrapotherium ruderarium	astrapotheria	NA	astrapotheriidae	NA	astrapotherium	ruderarium	1	NA
Desmatolagus vusillus	lagomorpha	NA	leporidae	NA	desmatolagus	vusillus	1	NA
Oregonomys pebblespringsensis	rodentia	NA	heteromyidae	NA	oregonomys	pebblespringsensis	4	NA
Bolivartherium urumaquensis	xenarthra	NA	mylodontidae	NA	bolivartherium	urumaquensis	1	NA
Bothriogenys rugulosus	artiodactyla	NA	anthracotheriidae	NA	bothriogenys	rugulosus	1	NA
Kobus korotorensis	NA	artiodactyla	NA	bovidae	kobus	korotorensis	NA	3
Diceratherium annectens	perissodactyla	NA	rhinocerotidae	NA	diceratherium	annectens	23	NA
Mimomys hintoni	NA	rodentia	NA	muridae	mimomys	hintoni	NA	21
Sudamerica ameghinoi	NA	NA	sudamericidae	NA	sudamerica	ameghinoi	3	NA
Arctocephalus forsteri	carnivora	NA	otariidae	NA	arctocephalus	forsteri	3	NA
Canis variabilis	NA	carnivora	NA	canidae	canis	variabilis	NA	9
Dipodomys ordii	rodentia	NA	heteromyidae	NA	dipodomys	ordii	9	NA
Metailurus acerensis	NA	carnivora	NA	felidae	metailurus	acerensis	NA	2
Primelephas saitunensis	NA	proboscidea	NA	elephantidae	primelephas	saitunensis	NA	1
Leptodontomys douglassi	rodentia	NA	eomyidae	NA	leptodontomys	douglassi	2	NA
Pliohippus pernix	perissodactyla	NA	equidae	NA	pliohippus	pernix	29	NA
Psalodon fortis	multituberculata	NA	allodontidae	NA	psalodon	fortis	1	NA
Spermophilus jerae	rodentia	NA	sciuridae	NA	spermophilus	jerae	1	NA
Wyonycteris chalix	NA	NA	nyctitheriidae	NA	wyonycteris	chalix	2	NA
Leptotheridium lugeoni	artiodactyla	NA	xiphodontidae	NA	leptotheridium	lugeoni	17	NA
Ardynia mongoliensis	perissodactyla	NA	hyracodontidae	NA	ardynia	mongoliensis	4	NA
Microdyromys biradiculus	NA	rodentia	NA	gliridae	microdyromys	biradiculus	NA	1
Orthogeniops ameghinoi	notoungulata	NA	notostylopidae	NA	orthogeniops	ameghinoi	1	NA
Asiadapis cambayensis	primates	NA	notharctidae	NA	asiadapis	cambayensis	2	NA
Aceratherium NA	NA	perissodactyla	NA	rhinocerotidae	aceratherium	NA	NA	35
Thryptacodon australis	NA	NA	arctocyonidae	NA	thryptacodon	australis	23	NA
Tragoreas palaeosinensis	NA	artiodactyla	NA	bovidae	tragoreas	palaeosinensis	NA	1
Lagurodon NA	NA	rodentia	NA	muridae	lagurodon	NA	NA	4
Mellivora capensis	carnivora	carnivora	mustelidae	mustelidae	mellivora	capensis	34	4
Merycochoerus chelydra	artiodactyla	NA	merycoidodontidae	NA	merycochoerus	chelydra	6	NA
Calomyscus NA	NA	rodentia	NA	muridae	calomyscus	NA	NA	4
Youngomys yunnanensis	rodentia	NA	gobiomyidae	NA	youngomys	yunnanensis	3	NA
Wakamatha tasselli	dasyuromorphia	NA	NA	NA	wakamatha	tasselli	1	NA
Pseudoplataeomys formosus	rodentia	NA	octodontidae	NA	pseudoplataeomys	formosus	2	NA
Brachyscirtetes wimani	NA	rodentia	NA	dipodidae	brachyscirtetes	wimani	NA	1
Rusa yunnanensis	NA	artiodactyla	NA	cervidae	rusa	yunnanensis	NA	17
Paranchitherium karpinskii	NA	perissodactyla	NA	equidae	paranchitherium	karpinskii	NA	1
Bolodon minor	multituberculata	NA	plagiaulacidae	NA	bolodon	minor	1	NA
Cimolomys trochuus	multituberculata	NA	cimolomyidae	NA	cimolomys	trochuus	1	NA
Mithridatocetus eichwaldi	cetacea	NA	cetotheriidae	NA	mithridatocetus	eichwaldi	1	NA
Djourabus dabba	NA	carnivora	NA	mustelidae	djourabus	dabba	NA	1
Megasminthus NA	NA	rodentia	NA	dipodidae	megasminthus	NA	NA	1
Episoriculus NA	NA	eulipotyphla	NA	soricidae	episoriculus	NA	NA	5
Glirudinus haramiensis	NA	rodentia	NA	gliridae	glirudinus	haramiensis	NA	1
Hippopotamus amphibius	artiodactyla	artiodactyla	hippopotamidae	hippopotamidae	hippopotamus	amphibius	164	40
Paraceratherium sui	perissodactyla	NA	indricotheriidae	NA	paraceratherium	sui	1	NA
Siamochoerus banmarkensis	artiodactyla	NA	palaeochoeridae	NA	siamochoerus	banmarkensis	1	NA
Plesiosminthus schaubi	rodentia	rodentia	zapodidae	dipodidae	plesiosminthus	schaubi	2	4
Kharomys gracilis	rodentia	NA	tamquammyidae	NA	kharomys	gracilis	1	NA
Eusmilus sicarius	carnivora	NA	nimravidae	NA	eusmilus	sicarius	2	NA
Canis lupus	carnivora	carnivora	canidae	canidae	canis	lupus	97	141
Testouromys NA	NA	rodentia	NA	ctenodactylidae	testouromys	NA	NA	1
Hypolagus regalis	lagomorpha	NA	leporidae	NA	hypolagus	regalis	5	NA
Equus livenzovensis	NA	perissodactyla	NA	equidae	equus	livenzovensis	NA	5
Desmanella amasyae	lipotyphla	eulipotyphla	talpidae	talpidae	desmanella	amasyae	2	2
Megaderma brailloni	NA	chiroptera	NA	megadermatidae	megaderma	brailloni	NA	1
Brachyodus onoideus	NA	artiodactyla	NA	anthracotheriidae	brachyodus	onoideus	NA	24
Schizotherium ordosium	perissodactyla	NA	chalicotheriidae	NA	schizotherium	ordosium	2	NA
Aulaxolophus quadrangularis	perissodactyla	NA	NA	NA	aulaxolophus	quadrangularis	1	NA
Shuotherium shilongi	shuotheridia	NA	shuotheriidae	NA	shuotherium	shilongi	1	NA
Galerix wesselsae	lipotyphla	NA	erinaceidae	NA	galerix	wesselsae	7	NA
Cebochoerus ruetimeyeri	artiodactyla	NA	cebochoeridae	NA	cebochoerus	ruetimeyeri	4	NA
Paralactaga NA	NA	rodentia	NA	dipodidae	paralactaga	NA	NA	12
Praepusa boeska	carnivora	NA	phocidae	NA	praepusa	boeska	1	NA
Simatherium demissum	NA	artiodactyla	NA	bovidae	simatherium	demissum	NA	4
Ceratogaulus robustus	rodentia	NA	mylagaulidae	NA	ceratogaulus	robustus	1	NA
Antilospira licenti	NA	artiodactyla	NA	bovidae	antilospira	licenti	NA	3
Arctocyonides jefferyi	NA	NA	arctocyonidae	NA	arctocyonides	jefferyi	1	NA
Ochotona spanglei	lagomorpha	NA	ochotonidae	NA	ochotona	spanglei	3	NA
Trigonictis macrodon	carnivora	NA	mustelidae	NA	trigonictis	macrodon	42	NA
Archaeotherium lemleyi	artiodactyla	NA	NA	NA	archaeotherium	lemleyi	1	NA
Glamys priscus	NA	rodentia	NA	myoxidae	glamys	priscus	NA	4
Soricella discrepans	NA	eulipotyphla	soricidae	soricidae	soricella	discrepans	6	11
Mitilanotherium inexpectatum	NA	artiodactyla	NA	giraffidae	mitilanotherium	inexpectatum	NA	1
Vulpes praeglacialis	NA	carnivora	NA	canidae	vulpes	praeglacialis	NA	5
Acotherulum pumilum	artiodactyla	NA	cebochoeridae	NA	acotherulum	pumilum	3	NA
Metaxytherium arctodites	sirenia	NA	dugongidae	NA	metaxytherium	arctodites	2	NA
Leptictidium prouti	NA	NA	pseudorhyncocyonidae	NA	leptictidium	prouti	3	NA
Mafia csarnotense	NA	eulipotyphla	NA	soricidae	mafia	csarnotense	NA	10
Hemibos NA	NA	artiodactyla	NA	bovidae	hemibos	NA	NA	1
Phenacotragus recki	NA	artiodactyla	NA	bovidae	phenacotragus	recki	NA	1
Ptilodus montanus	multituberculata	NA	ptilodontidae	NA	ptilodus	montanus	11	NA
Dionysopithecus NA	NA	primates	NA	catarrhini	dionysopithecus	NA	NA	1
Pliopentalagus progressivus	NA	lagomorpha	NA	leporidae	pliopentalagus	progressivus	NA	1
Plioviverrops guerini	NA	carnivora	NA	hyaenidae	plioviverrops	guerini	NA	12
Pterodon syrtos	hyaenodonta	NA	hyainailouridae	NA	pterodon	syrtos	1	NA
Parasorex NA	NA	eulipotyphla	NA	erinaceidae	parasorex	NA	NA	98
Vastanomys gracilis	primates	primates	omomyidae	omomyidae	vastanomys	gracilis	1	1
Oxymycterus wayku	rodentia	NA	cricetidae	NA	oxymycterus	wayku	1	NA
Rhinoceros deccanensis	NA	perissodactyla	NA	rhinocerotidae	rhinoceros	deccanensis	NA	2
Caprotragoides stehlini	NA	artiodactyla	NA	bovidae	caprotragoides	stehlini	NA	1
Mustela rexroadensis	carnivora	NA	mustelidae	NA	mustela	rexroadensis	10	NA
Syrtosmilus syrtensis	NA	carnivora	NA	barbourofelidae	syrtosmilus	syrtensis	NA	1
Daphoenodon skinneri	carnivora	NA	amphicyonidae	NA	daphoenodon	skinneri	1	NA
Euphractus sexcinctus	cingulata	NA	dasypodidae	NA	euphractus	sexcinctus	6	NA
Paginula parca	notoungulata	NA	oldfieldthomasiidae	NA	paginula	parca	6	NA
Othnielmarshia lacunifera	notoungulata	NA	henricosborniidae	NA	othnielmarshia	lacunifera	6	NA
Basilosaurus cetoides	cetacea	NA	basilosauridae	NA	basilosaurus	cetoides	34	NA
Parablastomeryx floridanus	artiodactyla	NA	moschidae	NA	parablastomeryx	floridanus	1	NA
Megachoerus zygomaticus	artiodactyla	NA	entelodontidae	NA	megachoerus	zygomaticus	1	NA
Procamelus occidentalis	artiodactyla	NA	camelidae	NA	procamelus	occidentalis	16	NA
Mops leucostigma	NA	chiroptera	NA	molossidae	mops	leucostigma	NA	1
Perognathus ancenensis	rodentia	NA	heteromyidae	NA	perognathus	ancenensis	1	NA
Siamoadapis maemohensis	NA	primates	NA	sivaladapidae	siamoadapis	maemohensis	NA	1
Mimomys haplodentatus	NA	rodentia	NA	muridae	mimomys	haplodentatus	NA	2
Leptocyon vafer	carnivora	NA	canidae	NA	leptocyon	vafer	51	NA
Amphicyonodon NA	NA	carnivora	NA	indet.	amphicyonodon	NA	NA	1
Eptesicus kowalskii	NA	chiroptera	NA	vespertilionidae	eptesicus	kowalskii	NA	1
Quettacyon parachai	condylarthra	condylarthra	quettacyonidae	quettacyonidae	quettacyon	parachai	2	1
Hylobates sericus	NA	primates	NA	hominidae	hylobates	sericus	NA	3
Villanyia orchonensis	NA	rodentia	NA	muridae	villanyia	orchonensis	NA	3
Glossotheriopsis pascuali	xenarthra	NA	mylodontidae	NA	glossotheriopsis	pascuali	2	NA
Acrotitan ulanshirehensis	perissodactyla	NA	brontotheriidae	NA	acrotitan	ulanshirehensis	1	NA
Cercartetus lepidus	diprotodontia	NA	burramyidae	NA	cercartetus	lepidus	7	NA
Palorchestes painei	NA	diprotodontia	NA	palorchestidae	palorchestes	painei	NA	1
Cervus ischnoceros	NA	artiodactyla	NA	cervidae	cervus	ischnoceros	NA	1
Hypohippus chico	perissodactyla	NA	equidae	NA	hypohippus	chico	1	NA
Nannospalax odessanus	NA	rodentia	NA	muridae	nannospalax	odessanus	NA	2
Hemimeryx NA	NA	artiodactyla	NA	anthracotheriidae	hemimeryx	NA	NA	3
Hypolagus furlongi	lagomorpha	NA	leporidae	NA	hypolagus	furlongi	11	NA
Mesocetus NA	NA	cetacea	NA	cetotheriidae	mesocetus	NA	NA	1
Megaderma mediterraneum	NA	chiroptera	NA	megadermatidae	megaderma	mediterraneum	NA	1
Megacricetodon aguilari	NA	rodentia	NA	muridae	megacricetodon	aguilari	NA	8
Brevilagus brachypus	NA	lagomorpha	NA	leporidae	brevilagus	brachypus	NA	1
Lepus ennisianus	lagomorpha	NA	leporidae	NA	lepus	ennisianus	2	NA
Panolax sanctaefidei	lagomorpha	NA	leporidae	NA	panolax	sanctaefidei	2	NA
Erinaceus praeglacialis	NA	eulipotyphla	NA	erinaceidae	erinaceus	praeglacialis	NA	1
Myotis bechsteini	NA	chiroptera	NA	vespertilionidae	myotis	bechsteini	NA	5
Dyskritodon indicus	eutriconodonta	NA	NA	NA	dyskritodon	indicus	1	NA
Stegomastodon mirificus	proboscidea	NA	gomphotheriidae	NA	stegomastodon	mirificus	16	NA
Leptochoerus elegans	artiodactyla	NA	leptochoeridae	NA	leptochoerus	elegans	8	NA
Ratufa NA	NA	rodentia	NA	sciuridae	ratufa	NA	NA	7
Polydolops unicus	polydolopimorphia	NA	polydolopidae	NA	polydolops	unicus	2	NA
Haplaletes pelicatus	macroscelidea	NA	apheliscidae	NA	haplaletes	pelicatus	3	NA
Oligopithecus rogeri	primates	NA	propliopithecidae	NA	oligopithecus	rogeri	1	NA
Prospalax NA	NA	rodentia	NA	muridae	prospalax	NA	NA	6
Pliosiphneus NA	NA	rodentia	NA	muridae	pliosiphneus	NA	NA	2
Albertogaudrya unica	astrapotheria	NA	trigonostylopidae	NA	albertogaudrya	unica	13	NA
Medocinia tetragorhina	cetacea	NA	squalodelphinidae	NA	medocinia	tetragorhina	1	NA
Hyopsodus powellianus	condylarthra	NA	hyopsodontidae	NA	hyopsodus	powellianus	84	NA
Woodburnehyus grenaderae	artiodactyla	NA	tayassuidae	NA	woodburnehyus	grenaderae	1	NA
Microcosmodon harleyi	multituberculata	NA	microcosmodontidae	NA	microcosmodon	harleyi	3	NA
Chalicotherium NA	NA	perissodactyla	NA	chalicotheriidae	chalicotherium	NA	NA	20
Docodon victor	docodonta	NA	docodontidae	NA	docodon	victor	7	NA
Vulpes corsac	NA	carnivora	NA	canidae	vulpes	corsac	NA	9
Hyaenictitherium hyaenoides	NA	carnivora	NA	hyaenidae	hyaenictitherium	hyaenoides	NA	21
Icaronycteris sigei	chiroptera	chiroptera	icaronycteridae	archaeonycteridae	icaronycteris	sigei	1	1
Canis armbrusteri	carnivora	NA	canidae	NA	canis	armbrusteri	18	NA
Orohippus sylvaticus	perissodactyla	NA	equidae	NA	orohippus	sylvaticus	3	NA
Sicista NA	NA	rodentia	NA	dipodidae	sicista	NA	NA	15
Ursus boeckhi	NA	carnivora	NA	ursidae	ursus	boeckhi	NA	2
Pteropus rufus	NA	chiroptera	NA	pteropodidae	pteropus	rufus	NA	1
Boreostemma venezolensis	xenarthra	NA	glyptodontidae	NA	boreostemma	venezolensis	1	NA
Choeroclaenus turgidunculus	condylarthra	NA	hyopsodontidae	NA	choeroclaenus	turgidunculus	4	NA
Aletridelphys hatcheri	NA	NA	pediomyidae	NA	aletridelphys	hatcheri	38	NA
Tupaiodon morrisi	lipotyphla	NA	erinaceidae	NA	tupaiodon	morrisi	2	NA
Symmetrodontoides canadensis	NA	NA	spalacotheriidae	NA	symmetrodontoides	canadensis	3	NA
Qatranilestes oligocaenus	NA	NA	NA	NA	qatranilestes	oligocaenus	1	NA
Dama dama	artiodactyla	artiodactyla	bovidae	cervidae	dama	dama	27	27
Mixtotherium mezi	NA	artiodactyla	NA	mixtotheriidae	mixtotherium	mezi	NA	1
Enhydra macrodonta	carnivora	NA	mustelidae	NA	enhydra	macrodonta	2	NA
Nonomys gutzleri	rodentia	NA	NA	NA	nonomys	gutzleri	1	NA
Prolagus bilobus	NA	lagomorpha	NA	ochotonidae	prolagus	bilobus	NA	5
Palaeotaria henriettae	carnivora	NA	NA	NA	palaeotaria	henriettae	1	NA
Navahoceros fricki	artiodactyla	NA	cervidae	NA	navahoceros	fricki	2	NA
Ectocion ignotum	NA	NA	phenacodontidae	NA	ectocion	ignotum	1	NA
Lindsaya derabugtiensis	rodentia	NA	chapattimyidae	NA	lindsaya	derabugtiensis	2	NA
Mesoplodon perrini	cetacea	NA	ziphiidae	NA	mesoplodon	perrini	1	NA
Sinonyx jiashanensis	acreodi	NA	mesonychidae	NA	sinonyx	jiashanensis	1	NA
Pliocervulus australis	NA	artiodactyla	NA	cervidae	pliocervulus	australis	NA	1
Notostylops murinus	notoungulata	NA	notostylopidae	NA	notostylops	murinus	23	NA
Juchilestes liaoningensis	NA	NA	NA	NA	juchilestes	liaoningensis	1	NA
Hyaenodon dubius	hyaenodonta	NA	hyaenodontidae	NA	hyaenodon	dubius	2	NA
Dicrostonyx henseli	NA	rodentia	NA	muridae	dicrostonyx	henseli	NA	1
Herpestes urva	carnivora	NA	herpestidae	NA	herpestes	urva	2	NA
Camelops traviswhitei	artiodactyla	NA	camelidae	NA	camelops	traviswhitei	6	NA
Oodectes jepseni	NA	NA	NA	NA	oodectes	jepseni	1	NA
Oligoryzomys longicaudatus	rodentia	NA	cricetidae	NA	oligoryzomys	longicaudatus	1	NA
Eschrichtioides gastaldii	cetacea	NA	eschrichtiidae	NA	eschrichtioides	gastaldii	2	NA
Protodichobune oweni	artiodactyla	NA	dichobunidae	NA	protodichobune	oweni	1	NA
Anourosorex quadratidens	NA	eulipotyphla	NA	soricidae	anourosorex	quadratidens	NA	10
Mammuthus meridionalis	proboscidea	proboscidea	elephantidae	elephantidae	mammuthus	meridionalis	106	82
Equus idahoensis	perissodactyla	NA	equidae	NA	equus	idahoensis	20	NA
Gazella praethomsoni	NA	artiodactyla	NA	bovidae	gazella	praethomsoni	NA	5
Homo floresiensis	NA	primates	NA	hominidae	homo	floresiensis	NA	2
Tusciziphius atlanticus	cetacea	NA	ziphiidae	NA	tusciziphius	atlanticus	5	NA
Hyaenarctis NA	NA	carnivora	NA	ursidae	hyaenarctis	NA	NA	1
Terricola atapuerquensis	NA	rodentia	NA	muridae	terricola	atapuerquensis	NA	9
Nothrotheriops texanus	xenarthra	NA	nothrotheriidae	NA	nothrotheriops	texanus	7	NA
Pliophenacomys koenigswaldi	rodentia	NA	cricetidae	NA	pliophenacomys	koenigswaldi	1	NA
Hexaprotodon protamphibius	NA	artiodactyla	NA	hippopotamidae	hexaprotodon	protamphibius	NA	7
Plesiotypotherium minor	NA	notoungulata	NA	mesotheriidae	plesiotypotherium	minor	NA	1
Hippotragus equinus	artiodactyla	artiodactyla	bovidae	bovidae	hippotragus	equinus	17	5
Archaeoparadoxia weltoni	desmostylia	NA	paleoparadoxiidae	NA	archaeoparadoxia	weltoni	1	NA
Alphagaulus vetus	rodentia	NA	mylagaulidae	NA	alphagaulus	vetus	15	NA
Pelycodus jarrovii	primates	NA	adapidae	NA	pelycodus	jarrovii	6	NA
Conohyus simorrensis	artiodactyla	artiodactyla	suidae	suidae	conohyus	simorrensis	10	32
Spirocerus NA	NA	artiodactyla	NA	bovidae	spirocerus	NA	NA	6
Redunca arundinum	artiodactyla	artiodactyla	bovidae	bovidae	redunca	arundinum	27	8
Petaurista brachyodus	NA	rodentia	NA	sciuridae	petaurista	brachyodus	NA	3
Notocricetodon gommeryi	NA	rodentia	NA	muridae	notocricetodon	gommeryi	NA	1
Acotherulum saturninum	artiodactyla	NA	cebochoeridae	NA	acotherulum	saturninum	5	NA
Glasbius twitchelli	didelphimorphia	NA	glasbiidae	NA	glasbius	twitchelli	18	NA
Soriamys ganganensis	rodentia	NA	cephalomyidae	NA	soriamys	ganganensis	1	NA
Orthostonyx NA	NA	artiodactyla	NA	suidae	orthostonyx	NA	NA	1
Haplocyonoides ponticus	NA	carnivora	NA	amphicyonidae	haplocyonoides	ponticus	NA	1
Marmota marmota	rodentia	rodentia	sciuridae	sciuridae	marmota	marmota	7	1
Lagomeryx satensis	NA	artiodactyla	NA	cervidae	lagomeryx	satensis	NA	3
Eobaatar clemensi	multituberculata	NA	eobaataridae	NA	eobaatar	clemensi	3	NA
Paceyodon davidi	morganucodonta	NA	NA	NA	paceyodon	davidi	1	NA
Crusafontina minima	NA	NA	soricidae	NA	crusafontina	minima	2	NA
Cricetodon versteegi	rodentia	rodentia	cricetidae	muridae	cricetodon	versteegi	3	1
Eostyloceros triangularis	NA	artiodactyla	NA	cervidae	eostyloceros	triangularis	NA	1
Nanolestes krusati	NA	NA	NA	NA	nanolestes	krusati	1	NA
Dystychoceras macedoniensis	NA	artiodactyla	NA	bovidae	dystychoceras	macedoniensis	NA	3
Talpavus sullivani	NA	NA	NA	NA	talpavus	sullivani	1	NA
Todralestes variablis	cimolesta	NA	todralestidae	NA	todralestes	variablis	1	NA
Dicerorhinus leakeyi	NA	perissodactyla	NA	rhinocerotidae	dicerorhinus	leakeyi	NA	20
Onychomys hollisteri	rodentia	NA	cricetidae	NA	onychomys	hollisteri	3	NA
